,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
45,8000,Lido DAO,LDO,lido-dao,410,2020-12-15T00:00:00.000Z,"['defi', 'dao', 'three-arrows-capital-portfolio', 'paradigm-portfolio', 'arbitrum-ecosytem', 'liquid-staking-derivatives', 'optimism-ecosystem', 'standard-crypto-portfolio', 'egirl-capital-portfolio']",,892888970.86,1000000000.00,False,,46,892888964.30,2075741047.14,0.06,2024-06-25T16:46:00.000Z,2.32,284415482.32,51.57,-0.03,5.98,14.81,-12.10,18.70,-24.28,2075741062.37,0.09,2324747118.76,32293617685.78,2024-06-25T16:46:00.000Z,1027.00,Ethereum,ETH,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2024-06-26 01:47:34
46,28752,dogwifhat,WIF,dogwifhat,414,2023-12-19T09:08:50.000Z,"['memes', 'solana-ecosystem', 'doggone-doggerel']",,998905875.86,998905875.86,False,,47,,,,2024-06-25T16:47:00.000Z,2.00,708578256.13,48.63,-0.76,19.30,2.53,-32.89,-31.29,-35.27,2001796589.01,0.09,2001796589.01,,2024-06-25T16:47:00.000Z,5426.00,Solana,SOL,solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,2024-06-26 01:47:34
47,11840,Optimism,OP,optimism-ethereum,541,2022-05-31T16:19:46.000Z,"['layer-2', 'optimism-ecosystem', 'modular-blockchain']",4294967296.00,1121728540.00,4294967296.00,False,,48,,,,2024-06-25T16:46:00.000Z,1.78,211095192.32,4.39,-0.48,5.44,1.04,-31.93,-23.08,-52.17,2000885829.12,0.09,7661157662.17,,2024-06-25T16:46:00.000Z,11840.00,Optimism,OP,optimism-ethereum,0x4200000000000000000000000000000000000042,2024-06-26 01:47:34
48,22974,Bittensor,TAO,bittensor,69,2023-03-06T05:20:00.000Z,"['ai-big-data', 'distributed-computing', 'oracles', 'dao', 'polkadot-ecosystem', 'polychain-capital-portfolio', 'dcg-portfolio', 'open-source', 'generative-ai', 'depin']",21000000.00,6980673.00,6980673.00,False,,49,,,,2024-06-25T16:47:00.000Z,285.65,59898562.96,20.12,-0.93,3.81,5.33,-35.57,-34.56,-49.74,1994007544.02,0.09,5998584724.50,,2024-06-25T16:47:00.000Z,,,,,,2024-06-26 01:47:34
49,5632,Arweave,AR,arweave,146,2020-05-27T00:00:00.000Z,"['distributed-computing', 'filesharing', 'storage', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'a16z-portfolio', 'multicoin-capital-portfolio', 'web3', 'egirl-capital-portfolio', 'depin']",66000000.00,65652466.00,65652466.00,False,,50,,,,2024-06-25T16:46:00.000Z,29.75,107689228.05,16.68,-2.04,14.38,19.47,-23.17,-5.58,-28.44,1953025335.16,0.09,1963363754.23,,2024-06-25T16:46:00.000Z,,,,,,2024-06-26 01:47:34
0,1,Bitcoin,BTC,bitcoin,11134,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.00,19716612.00,19716612.00,False,,1,,,,2024-06-25T16:47:00.000Z,61455.31,37971064374.43,20.85,-0.65,1.93,-4.72,-10.79,-3.45,-11.08,1211690435743.98,53.22,1290561438781.86,,2024-06-25T16:47:00.000Z,,,,,,2024-06-26 01:47:44
1,1027,Ethereum,ETH,ethereum,9097,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120176900.77,120176900.77,True,,2,,,,2024-06-25T16:46:00.000Z,3393.44,17521081066.03,-8.70,-0.71,3.82,-0.64,-12.22,8.94,-3.48,407812728482.09,17.92,407812728482.09,,2024-06-25T16:46:00.000Z,,,,,,2024-06-26 01:47:44
2,825,Tether USDt,USDT,tether,89813,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112934363981.53,116077402099.84,True,,3,,,,2024-06-25T16:46:00.000Z,1.00,65177233484.50,7.44,0.01,0.02,0.01,0.02,-0.01,0.01,112905518169.31,4.96,116047753489.56,,2024-06-25T16:46:00.000Z,1027.00,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-26 01:47:44
3,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583494.40,147583494.40,False,,4,,,,2024-06-25T16:46:00.000Z,575.47,1771154909.83,-4.08,-0.33,2.59,-0.82,-4.52,-3.86,0.82,84930018951.32,3.73,84930018951.32,,2024-06-25T16:46:00.000Z,,,,,,2024-06-26 01:47:44
4,5426,Solana,SOL,solana,691,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462252820.59,578930895.95,True,,5,,,,2024-06-25T16:46:00.000Z,138.22,3109902988.61,14.40,-0.85,9.17,3.05,-15.28,-2.72,-24.35,63894265864.08,2.81,80021933746.32,,2024-06-25T16:46:00.000Z,,,,,,2024-06-26 01:47:44
